temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth,generated_power_kw
-2.0,99,1036.6,0.0,0.0,0.0,0,0,0,0.0,7.65,221.19,3.62,95.71,8.4,226.74,10.08,59.16669,83.099158,127.53295,455.91293
-1.77,92,1037.0,0.0,0.0,0.0,0,0,0,1.78,9.18,228.18,2.28,198.43,10.09,235.18,3.24,45.82124,74.953937,138.7627,1417.3211
0.78,81,1037.1,0.0,0.0,0.0,0,0,0,107.69,6.92,231.34,3.83,228.81,6.44,243.43,1.8,32.972619,68.437019,151.77289,2224.3277
4.01,70,1036.3,0.0,0.0,0.0,0,0,0,255.43,4.02,243.43,3.55,246.04,4.55,251.57,6.48,22.528242,64.378984,166.15308,2549.8831
6.32,62,1035.1,0.0,0.0,0.0,0,0,0,373.8,1.3,326.31,1.14,341.57,1.61,333.43,4.32,18.53492,63.15247,181.45661,2637.6611
8.03,45,1030.6,0.0,0.0,0.0,0,0,0,449.45,6.19,35.54,6.41,38.16,6.13,40.24,8.64,24.210671,64.941199,196.72028,2567.6217
8.93,42,1030.1,0.0,0.0,0.0,0,0,0,473.48,8.37,25.46,8.53,27.65,8.05,26.57,9.72,35.360702,69.516981,210.89752,2293.5854
9.11,43,1030.5,0.0,0.0,0.0,0,0,0,443.22,10.59,17.82,10.59,17.82,10.14,16.5,10.08,48.310286,76.358042,223.49696,1167.8618
8.46,47,1030.6,0.0,0.0,0.0,0,0,0,363.12,10.37,20.32,10.7,19.65,10.37,20.32,9.72,61.69987,84.732679,234.46465,114.485
14.32,27,1032.5,0.0,0.0,0.0,0,0,0,462.8,6.88,276.01,7.59,275.44,6.88,276.01,7.92,23.715326,64.47128,196.51641,2554.7255
15.06,26,1034.2,0.0,0.0,0.0,0,0,0,487.72,7.1,329.53,8.21,322.13,7.99,324.16,6.48,34.919123,69.0196,210.80309,2281.9892
14.87,26,1033.3,0.0,0.0,0.0,0,0,0,456.57,14.04,358.53,16.22,357.46,15.48,358.67,13.68,47.925942,75.853518,223.49251,1107.7147
13.49,33,1034.9,0.0,0.0,0.0,0,0,0,374.69,9.03,355.43,10.08,360.0,9.73,2.12,11.16,61.372756,84.245064,234.52776,130.56522
0.83,78,1035.4,0.0,0.0,0.0,0,0,0,0.0,7.59,275.44,12.82,321.84,10.66,281.69,14.76,59.576432,82.999117,126.78663,33.746162
9.08,69,1031.9,0.0,0.0,0.0,0,0,0,365.79,15.28,15.02,16.33,14.04,14.84,14.04,16.56,61.265693,84.074051,234.56117,116.31498
-0.13,93,1036.2,0.0,0.0,0.0,0,0,0,0.0,15.23,186.79,32.5,175.55,21.99,182.82,24.84,59.64523,82.939972,126.61287,503.15395
-0.2,94,1036.6,0.0,0.0,0.0,0,0,0,2.67,18.09,185.71,34.99,176.46,23.8,183.47,25.56,46.075248,74.60728,137.9439,1400.0511
2.91,84,1036.0,0.0,0.0,0.0,0,0,0,107.69,19.08,180.0,29.22,176.47,23.41,178.24,24.84,33.146766,68.007658,150.8866,2166.6904
5.95,73,1034.2,0.0,0.0,0.0,0,0,0,255.43,21.25,178.06,27.4,176.99,23.42,177.36,21.6,22.289876,63.776773,165.41479,2542.4739
8.24,64,1032.7,0.0,0.0,0.0,0,0,0,374.69,20.28,173.88,24.61,174.12,21.75,173.35,19.8,17.800296,62.419861,181.04397,2677.5709
10.28,44,1029.3,0.0,0.0,0.0,0,0,0,457.46,13.98,168.11,16.1,169.7,14.26,169.82,9.72,23.366081,64.125882,196.39896,2607.0784
10.75,45,1029.1,0.0,0.0,0.0,0,0,0,480.6,16.74,161.18,19.59,162.9,17.08,161.57,14.4,34.618664,68.659827,210.76496,2304.9839
10.63,44,1028.7,0.0,0.0,0.0,0,0,0,450.34,21.31,164.32,25.23,165.96,20.87,165.0,18.72,47.670941,75.493205,223.51827,1244.6791
9.72,48,1029.1,0.0,0.0,0.0,0,0,0,371.13,22.1,167.77,26.83,168.39,21.67,168.5,20.88,61.159809,83.898968,234.60081,135.79522
-0.97,67,1029.2,0.0,0.0,0.0,0,0,0,0.0,13.32,218.42,24.97,245.28,15.78,214.78,28.08,59.711404,82.874387,126.43606,445.91228
-1.12,73,1030.2,0.0,0.0,0.0,0,0,0,2.67,14.51,223.99,26.21,249.08,15.58,220.31,27.36,46.116121,74.517462,137.77297,1353.1714
2.55,63,1029.0,0.0,0.0,0.0,0,0,0,110.36,12.31,232.13,25.28,252.6,10.69,225.0,31.32,33.148459,67.890934,150.72797,2127.6647
7.45,52,1026.1,0.0,0.0,0.0,0,0,0,260.77,12.56,242.7,17.32,249.3,10.38,236.31,24.12,22.219137,63.632764,165.2803,2437.0792
10.78,38,1024.3,0.0,0.0,0.0,0,0,0,380.03,21.32,258.31,26.41,259.0,21.05,257.15,32.04,17.637551,62.253394,180.84246,2568.2777
12.61,31,1023.7,0.0,0.0,0.0,0,0,0,453.01,22.31,259.78,26.05,258.85,22.38,258.87,32.76,23.18615,63.943789,196.34598,2350.5334
12.67,32,1023.2,0.0,0.0,0.0,0,0,0,477.04,22.7,255.3,26.9,254.48,22.8,254.43,32.76,34.467074,68.471763,210.75351,968.71618
7.08,71,1017.3,0.0,0.0,0.0,0,0,0,268.78,30.92,207.76,39.03,209.88,32.04,207.43,42.48,22.061843,63.323701,165.0127,690.96898
-0.57,75,1017.2,0.0,0.0,0.0,0,0,0,118.37,24.93,287.65,26.76,287.22,25.73,287.93,27.0,33.129206,67.498954,150.24586,1549.9781
1.54,62,1016.2,0.0,0.0,0.0,0,0,0,271.45,22.91,278.13,23.68,278.75,23.27,278.0,25.2,21.879876,63.12744,165.03328,1717.2196
-5.35,82,1028.9,0.0,0.0,0.0,0,0,0,0.0,15.94,276.48,26.49,301.1,17.02,276.07,18.72,59.962798,82.557387,125.6905,553.33489
-4.92,84,1028.8,0.0,0.0,0.0,0,0,0,3.56,14.83,275.57,25.68,301.24,17.16,279.66,19.08,46.24653,74.090688,137.06821,1457.4705
-1.68,75,1028.2,0.0,0.0,0.0,0,0,0,119.26,14.0,287.97,19.8,297.03,15.38,286.31,17.64,33.114848,67.354523,150.08337,2219.2605
1.3,61,1026.6,0.0,0.0,0.3,1,0,0,272.34,18.2,294.54,18.51,296.57,19.01,294.62,21.24,21.884109,62.98702,164.74744,2595.2027
2.34,59,1025.8,0.0,0.0,0.3,1,0,0,398.72,20.77,297.9,20.95,298.77,20.14,298.86,22.32,16.915904,61.518011,180.47672,2724.477
4.5,31,1024.7,0.0,0.0,0.0,0,0,0,478.82,7.79,303.69,7.9,300.07,7.1,300.47,11.88,22.434327,63.15475,196.17407,2668.6514
5.21,27,1023.4,0.0,0.0,0.0,0,0,0,504.63,7.63,289.29,7.42,284.04,6.29,283.24,12.6,33.855504,67.667245,210.75993,2415.1739
3.12,59,1027.2,0.0,0.0,0.0,0,0,0,488.61,22.55,16.7,22.55,19.59,21.41,19.65,25.2,32.943347,66.316032,210.9328,1494.7838
3.52,54,1027.0,0.0,0.0,0.0,0,0,0,499.29,22.18,13.13,22.45,15.82,21.22,14.74,23.76,46.340854,73.20948,224.08532,507.36284
3.58,54,1027.0,0.0,0.0,0.0,0,0,0,420.97,22.51,7.35,22.96,9.02,21.79,7.59,27.0,60.107916,81.737581,235.45124,112.26474
3.17,56,1026.9,0.0,0.0,0.0,0,0,0,299.93,22.01,3.75,23.54,6.15,22.03,4.69,27.72,107.42,118.85498,215.01312,26.661348
-0.48,62,1031.9,0.0,0.0,0.0,0,0,0,140.62,9.72,360.0,11.53,14.47,8.64,360.0,24.48,32.908601,66.156198,148.9297,2332.3159
0.86,54,1032.8,0.0,0.0,0.0,0,0,0,291.03,15.63,14.68,15.73,15.95,14.41,12.99,28.44,21.111896,61.59907,163.84708,2664.7049
2.62,45,1031.7,0.0,0.0,0.0,0,0,0,412.07,18.67,19.13,18.92,21.19,18.33,19.5,34.92,15.432475,59.986603,179.93814,2899.872
3.86,47,1031.0,0.0,0.0,0.0,0,0,0,502.85,20.61,27.01,22.91,30.19,19.97,27.95,30.6,21.023016,61.555764,196.03911,2822.5761
5.02,44,1030.6,0.0,0.0,0.0,0,0,0,526.88,21.43,29.15,24.2,30.38,20.95,28.77,30.96,32.737846,66.05026,210.9194,2520.3628
5.72,44,1030.7,0.0,0.0,0.0,0,0,0,494.84,21.41,27.0,24.65,28.81,19.97,25.64,33.84,46.230416,72.979873,224.17356,1566.4214
5.68,48,1029.7,0.0,0.0,0.0,0,0,0,414.74,19.67,23.75,23.02,26.97,20.14,24.27,31.32,60.025904,81.522951,235.56645,232.96167
5.14,55,1030.0,0.0,0.0,0.0,0,0,0,295.48,16.85,19.98,20.95,24.36,17.65,20.28,29.16,107.50654,118.67814,215.01028,34.047386
2.45,44,1034.6,0.0,0.0,0.0,0,0,0,423.64,15.46,24.78,15.51,21.8,14.37,22.07,26.28,15.19911,59.743863,179.87309,2898.309
4.94,40,1032.5,0.0,0.0,0.3,1,0,0,530.44,21.13,13.8,22.45,15.82,20.78,14.04,29.16,32.647237,65.830907,211.03592,2517.6672
5.6,38,1032.2,0.0,0.0,1.2,4,0,0,506.41,22.01,15.17,23.0,17.3,21.66,15.42,31.68,46.126298,72.749556,224.27123,1643.3694
5.72,38,1031.7,0.0,0.0,1.2,4,0,0,429.87,22.7,14.7,24.72,16.06,22.7,14.7,31.68,60.063468,81.381671,235.77953,240.32569
5.23,40,1030.9,0.0,0.0,0.6,2,0,0,312.39,20.62,12.09,23.75,14.04,21.05,12.85,30.96,107.59409,118.49663,215.01105,12.823696
0.22,34,1031.9,0.0,0.0,0.0,0,0,0,0.0,11.53,345.53,15.48,358.67,10.18,351.87,27.72,60.317494,81.440343,123.90539,622.10833
0.63,37,1032.3,0.0,0.0,0.0,0,0,0,8.01,10.74,346.43,14.04,360.0,9.78,353.66,27.36,46.348249,72.745483,135.38514,1555.0839
3.36,35,1032.1,0.0,0.0,0.0,0,0,0,135.28,9.69,344.93,12.96,358.41,6.88,353.99,25.92,32.817529,65.755409,148.59741,2207.8295
4.66,31,1032.2,0.0,0.0,0.0,0,0,0,290.14,11.88,360.0,12.25,358.32,10.14,6.12,25.92,20.851847,61.145105,163.60056,2033.3861
6.77,51,1030.7,0.0,0.0,0.0,0,0,0,495.73,14.78,2.79,16.92,360.0,15.5,2.66,20.88,20.605587,61.052056,196.04239,1601.2917
7.57,51,1030.4,0.0,0.0,0.0,0,0,0,524.21,16.6,3.73,18.36,1.12,17.31,3.58,23.04,32.501613,65.582372,211.09624,1587.797
7.9,49,1030.5,0.0,0.0,0.0,0,0,0,498.4,17.02,6.07,18.45,5.6,17.37,5.95,24.48,46.017,72.511392,224.36879,900.9568
7.61,52,1029.5,0.0,0.0,0.0,0,0,0,421.86,17.06,7.28,18.89,7.67,16.39,8.84,24.48,59.870431,81.086397,235.81581,175.41141
6.84,55,1030.3,0.0,0.0,0.3,1,0,0,302.6,15.68,9.25,19.71,9.46,16.45,10.08,24.12,107.68261,118.31051,215.01532,25.198679
5.35,71,1031.2,0.0,0.0,0.9,3,0,0,427.2,12.77,21.5,12.98,19.44,12.18,18.97,18.0,14.717325,59.241358,179.75263,801.21361
7.23,65,1030.5,0.0,0.0,0.3,1,0,0,501.07,16.6,24.34,17.71,26.57,15.94,25.41,24.12,20.395668,60.792939,196.05134,1120.3043
8.01,64,1029.9,0.0,0.0,0.3,1,0,0,525.99,18.46,20.56,20.14,24.27,17.92,22.44,24.12,32.357883,65.330014,211.16246,522.36722
8.15,64,1030.1,0.0,0.0,0.0,0,0,0,499.29,21.53,20.56,23.73,22.29,20.86,21.25,25.56,45.91431,72.272754,224.47579,694.42378
7.73,65,1028.8,0.0,0.0,0.0,0,0,0,422.75,20.43,14.28,22.35,14.93,20.08,14.53,23.4,59.797177,80.864708,235.94993,197.23395
6.98,69,1028.6,0.0,0.0,0.0,0,0,0,304.38,19.88,5.19,22.42,5.53,19.92,6.23,21.6,107.77202,118.11981,215.023,29.081699
2.06,75,1030.4,0.0,0.0,0.0,0,0,0,147.74,6.73,344.48,8.91,345.96,8.71,330.26,16.2,32.713338,65.32969,148.26495,2254.5837
4.49,63,1029.2,0.0,0.0,0.0,0,0,0,307.94,12.62,356.73,13.32,358.45,12.98,356.82,19.44,20.576122,60.666838,163.35977,2634.1726
5.72,51,1028.1,0.0,0.0,0.0,0,0,0,435.21,14.78,357.21,15.14,357.27,14.4,358.57,21.96,14.469131,58.981793,179.69734,2805.2676
6.46,64,1027.4,0.0,0.0,0.0,0,0,0,515.31,15.33,350.54,16.1,349.7,15.04,348.96,22.68,20.185275,60.529128,196.06522,2768.1883
7.7,50,1026.4,0.0,0.0,0.0,0,0,0,542.9,15.54,346.61,16.77,345.07,15.63,345.32,21.6,32.216246,65.073948,211.23459,2471.2245
8.44,49,1025.7,0.0,0.0,0.0,0,0,0,512.64,16.52,348.69,17.73,347.09,16.24,347.2,19.8,45.814478,72.03134,224.58904,1233.002
8.25,53,1025.1,0.0,0.0,0.3,1,0,0,432.54,20.01,351.72,21.9,350.54,20.01,351.72,24.48,59.727037,80.640895,236.09029,279.1891
7.62,58,1025.0,0.0,0.0,0.0,0,0,0,313.28,20.77,351.03,24.03,351.38,20.77,351.03,24.48,107.86229,117.92459,215.03395,44.6431
9.78,41,1014.7,0.0,0.0,6.3,21,0,0,497.51,31.56,295.69,37.36,295.08,33.82,295.2,41.76,19.974663,60.260732,196.08408,115.7372
-5.05,86,1029.5,0.0,0.0,0.0,0,0,0,0.0,0.8,206.57,10.74,39.56,2.55,188.13,7.56,60.554806,79.060556,120.9977,132.23905
-4.29,83,1030.0,0.0,0.0,0.0,0,0,0,24.03,2.41,243.43,6.44,26.57,2.74,203.2,8.28,46.068839,69.933108,132.8112,205.54818
0.07,63,1029.3,0.0,0.0,0.0,0,0,0,181.56,3.55,293.96,3.6,306.87,2.41,296.57,4.68,31.948186,62.574755,146.44604,315.97245
1.43,54,1027.4,0.0,0.0,0.0,0,0,0,343.54,10.85,354.29,11.17,358.15,11.16,360.0,13.32,18.840791,57.636227,162.14937,552.13038
1.9,49,1027.4,0.0,0.0,0.0,0,0,0,472.59,19.11,3.24,18.42,4.48,18.06,4.57,21.96,11.458332,55.79238,179.31607,492.32998
1.93,60,1026.6,0.0,0.0,0.0,0,0,0,556.25,19.49,25.14,20.45,26.11,18.51,26.57,24.12,17.917675,57.34844,196.55202,552.04514
3.28,58,1025.6,0.0,0.0,0.0,0,0,0,585.62,20.01,30.26,21.57,33.42,19.77,33.11,23.4,30.850943,62.044221,212.42152,408.28072
3.9,59,1025.3,0.0,0.0,0.0,0,0,0,560.7,21.37,32.62,23.48,35.64,21.18,35.31,25.56,44.937703,69.222806,226.2427,263.97289
3.74,64,1024.5,0.0,0.0,0.0,0,0,0,483.27,22.07,28.24,24.2,30.38,21.92,29.51,27.0,59.301071,78.148315,238.12414,101.51705
-4.38,71,1029.7,0.0,0.0,0.0,0,0,0,0.0,21.79,157.67,38.65,152.24,19.97,152.05,38.16,60.545635,78.833095,120.77307,760.53663
8.43,55,1019.2,0.0,0.0,0.0,0,0,0,566.04,12.62,183.27,12.98,183.18,14.04,181.47,10.8,17.164309,56.08265,196.88371,1644.59
3.26,74,1024.1,0.0,0.0,0.0,0,0,0,201.14,6.29,256.76,8.12,257.2,7.29,249.78,12.24,31.526925,61.11545,145.62832,2344.2967
5.63,64,1022.9,0.0,0.0,0.0,0,0,0,364.01,8.67,274.76,9.01,272.29,8.65,272.39,13.68,17.980527,56.059599,161.66579,2748.0358
8.42,53,1021.0,0.0,0.0,3.3,11,0,0,574.94,21.19,279.78,22.55,278.26,20.01,278.28,25.92,16.986686,55.758609,196.97967,2774.0572
8.94,49,1020.1,0.0,0.0,6.6,22,0,0,601.64,23.75,284.04,25.5,283.06,22.18,283.13,28.44,30.388322,60.562727,213.19882,2125.9102
8.85,45,1019.8,0.0,0.0,0.9,3,0,0,582.06,24.37,282.8,26.9,282.36,23.58,282.34,30.24,44.695039,67.876421,227.23425,650.15667
8.65,50,1020.4,0.0,0.0,0.0,0,0,0,504.63,23.66,283.19,26.2,282.7,22.53,282.93,31.32,59.201875,76.932332,239.23726,89.000525
8.12,54,1020.3,0.0,0.0,1.8,6,0,0,387.15,23.58,282.34,26.83,281.61,22.73,280.95,31.32,71.336983,85.314944,248.1504,1.1058824
5.76,82,1014.6,0.0,0.0,0.0,0,0,0,354.22,28.55,318.07,35.19,318.32,28.82,318.54,32.76,17.634639,55.398755,161.48411,637.55228
6.35,80,1014.0,0.0,0.0,0.0,0,0,0,494.84,27.8,318.67,33.7,319.33,28.08,319.16,31.68,9.3433409,53.486378,179.29707,641.52067
7.41,51,1034.1,0.0,0.0,0.0,0,0,0,514.42,5.12,129.29,6.13,130.24,5.35,132.27,10.8,8.4155326,52.444228,179.34351,428.09654
-1.56,95,1034.9,0.0,0.0,0.0,0,0,0,0.0,16.62,175.03,31.61,165.49,14.42,177.14,27.0,60.337189,76.301187,118.48457,729.90932
0.47,88,1034.3,0.0,0.0,0.0,0,0,0,51.62,14.83,174.43,28.04,167.39,10.85,174.29,24.12,45.556679,66.883249,130.55647,1783.8262
3.92,71,1034.0,0.0,0.0,0.0,0,0,0,228.73,17.73,167.09,20.08,165.47,16.77,165.07,22.68,30.998803,59.220476,144.65573,2390.095
5.24,63,1032.5,0.0,0.0,0.0,0,0,0,393.38,19.05,157.8,19.86,157.62,18.25,157.99,17.64,16.953118,54.030502,161.14116,2804.8013
6.5,58,1030.7,0.0,0.0,0.0,0,0,0,524.21,16.42,154.0,16.9,153.43,15.94,154.59,14.4,8.1061629,52.090553,179.36642,2961.926
8.18,50,1029.4,0.0,0.0,0.0,0,0,0,606.98,11.28,163.3,11.62,163.81,10.83,164.58,11.52,16.043847,53.759932,197.66585,2867.343
9.02,48,1028.8,0.0,0.0,0.0,0,0,0,637.24,5.19,146.31,5.5,148.39,5.15,155.22,6.48,30.004293,58.726143,214.32479,2584.3651
9.74,46,1027.4,0.0,0.0,0.0,0,0,0,611.43,3.6,53.13,3.55,66.04,3.08,69.44,3.24,44.550898,66.227835,228.61135,2118.8114
10.08,46,1026.4,0.0,0.0,0.0,0,0,0,532.22,8.53,27.65,8.4,30.96,7.59,31.43,5.76,59.212126,75.455559,240.74472,680.90394
0.21,72,1019.6,0.0,0.0,0.0,0,0,0,242.97,30.17,342.65,37.04,344.21,30.31,344.15,43.56,30.73539,58.221563,144.17345,2434.8074
2.31,60,1019.3,0.0,0.0,0.0,0,0,0,405.84,29.43,345.11,34.4,346.69,29.25,346.48,42.48,16.461426,52.967312,160.90215,2795.9993
8.77,57,1016.6,0.0,0.0,0.0,0,0,0,614.99,27.37,333.43,30.11,333.74,26.41,334.13,41.04,44.542764,65.396909,229.37341,424.62465
3.9,58,1027.7,0.0,0.0,0.0,0,0,0,572.27,27.56,19.86,29.37,19.32,27.9,19.6,36.36,5.7174805,49.165362,179.68624,2653.3225
7.28,51,1025.3,0.0,0.0,0.0,0,0,0,679.07,25.05,7.43,26.88,7.7,24.39,8.49,40.32,29.831993,56.220291,216.14862,2689.2852
7.86,48,1025.1,0.0,0.0,0.0,0,0,0,651.48,22.37,3.69,23.83,4.33,21.67,4.76,29.52,44.645792,64.024028,230.76224,2189.9954
8.0,47,1024.6,0.0,0.0,0.0,0,0,0,571.38,21.6,359.05,22.68,360.0,20.52,360.0,33.84,59.449762,73.488531,243.0183,899.45487
4.1,61,1026.7,0.0,0.0,1.2,4,0,0,93.45,15.91,307.65,19.91,310.6,16.64,308.85,21.6,45.048895,64.041666,128.67897,1377.1819
6.63,71,1025.7,0.0,0.0,0.6,2,0,0,276.79,20.81,307.27,22.49,309.81,19.73,308.33,30.24,30.221172,56.134103,143.22972,2016.125
8.01,65,1025.8,0.0,0.0,0.3,1,0,0,434.32,21.39,316.36,22.18,318.29,19.88,317.94,27.0,15.572385,50.75983,160.47056,1978.0229
9.88,60,1025.0,0.0,0.0,0.3,1,0,0,558.03,21.99,320.31,23.28,320.65,20.97,320.57,23.76,5.4464999,48.790092,179.82428,2559.2473
6.79,76,1026.3,0.0,0.0,0.0,0,0,0,95.23,7.34,258.69,15.94,276.48,7.21,267.14,22.68,44.933901,63.377801,128.25811,1543.786
11.78,60,1024.9,0.0,0.0,0.0,0,0,0,283.02,7.86,285.95,9.03,293.5,7.09,293.96,14.4,30.075543,55.420508,142.89896,2325.0675
16.24,40,1024.0,0.0,0.0,0.0,0,0,0,534.89,16.61,299.9,17.56,298.14,15.5,300.74,23.76,4.9260227,48.032394,179.86858,2850.3126
16.95,51,1023.5,0.0,0.0,0.0,0,0,0,675.51,18.86,318.09,19.35,316.51,17.85,318.27,28.44,29.875213,55.274224,216.92444,2129.886
17.0,49,1023.5,0.0,0.0,0.0,0,0,0,650.59,18.86,318.09,19.86,315.0,18.08,315.81,28.8,44.796586,63.221041,231.68366,494.96428
13.38,68,1023.5,0.0,0.0,0.0,0,0,0,428.09,6.12,360.0,6.48,360.0,6.48,360.0,9.0,15.198496,49.622146,160.27635,1905.4306
16.19,54,1022.5,0.0,0.0,0.0,0,0,0,570.49,12.66,345.17,12.5,348.37,11.66,351.12,25.56,59.661611,72.516417,244.25455,692.53553
6.27,72,1032.9,0.0,0.0,0.0,0,0,0,458.35,21.49,31.29,23.47,32.47,20.87,32.32,26.28,15.087446,49.238705,160.21447,1938.8014
